iter	Passed	Remaining
800	6880	1709
801	6889	1700
802	6898	1692
803	6906	1683
804	6915	1675
805	6923	1666
806	6931	1657
807	6939	1648
808	6947	1640
809	6955	1631
810	6963	1622
811	6971	1614
812	6980	1605
813	6988	1596
814	6996	1588
815	7004	1579
816	7012	1570
817	7020	1561
818	7028	1553
819	7036	1544
820	7045	1536
821	7054	1527
822	7062	1518
823	7071	1510
824	7079	1501
825	7089	1493
826	7101	1485
827	7109	1476
828	7117	1468
829	7125	1459
830	7133	1450
831	7141	1442
832	7150	1433
833	7159	1424
834	7167	1416
835	7176	1407
836	7185	1399
837	7194	1390
838	7202	1382
839	7210	1373
840	7219	1364
841	7227	1356
842	7236	1347
843	7244	1339
844	7253	1330
845	7261	1321
846	7269	1313
847	7277	1304
848	7286	1295
849	7293	1287
850	7301	1278
851	7310	1269
852	7318	1261
853	7326	1252
854	7335	1243
855	7343	1235
856	7352	1226
857	7360	1218
858	7369	1209
859	7377	1201
860	7386	1192
861	7395	1183
862	7403	1175
863	7411	1166
864	7420	1158
865	7428	1149
866	7437	1140
867	7445	1132
868	7453	1123
869	7462	1115
870	7471	1106
871	7480	1098
872	7489	1089
873	7498	1080
874	7506	1072
875	7514	1063
876	7522	1055
877	7531	1046
878	7539	1037
879	7547	1029
880	7556	1020
881	7564	1012
882	7572	1003
883	7581	994
884	7589	986
885	7598	977
886	7607	969
887	7616	960
888	7625	952
889	7634	943
890	7642	934
891	7650	926
892	7658	917
893	7666	909
894	7674	900
895	7683	891
896	7691	883
897	7699	874
898	7708	865
899	7716	857
900	7724	848
901	7732	840
902	7741	831
903	7749	823
904	7758	814
905	7767	805
906	7776	797
907	7785	788
908	7793	780
909	7801	771
910	7810	763
911	7818	754
912	7827	745
913	7836	737
914	7844	728
915	7852	720
916	7860	711
917	7868	702
918	7876	694
919	7883	685
920	7891	676
921	7900	668
922	7908	659
923	7916	651
924	7924	642
925	7932	633
926	7940	625
927	7948	616
928	7957	608
929	7966	599
930	7974	591
931	7982	582
932	7990	573
933	7998	565
934	8006	556
935	8014	548
936	8023	539
937	8031	530
938	8040	522
939	8048	513
940	8057	505
941	8065	496
942	8073	487
943	8081	479
944	8089	470
945	8098	462
946	8107	453
947	8116	445
948	8123	436
949	8132	428
950	8140	419
951	8148	410
952	8156	402
953	8165	393
954	8173	385
955	8180	376
956	8188	367
957	8196	359
958	8204	350
959	8212	342
960	8221	333
961	8230	325
962	8238	316
963	8247	308
964	8256	299
965	8265	290
966	8274	282
967	8283	273
968	8292	265
969	8300	256
970	8309	248
971	8318	239
972	8326	231
973	8335	222
974	8344	213
975	8352	205
976	8360	196
977	8368	188
978	8376	179
979	8384	171
980	8393	162
981	8401	154
982	8409	145
983	8417	136
984	8426	128
985	8435	119
986	8444	111
987	8453	102
988	8461	94
989	8469	85
990	8478	76
991	8487	68
992	8495	59
993	8504	51
994	8513	42
995	8522	34
996	8530	25
997	8539	17
998	8547	8
999	8555	0
